,current_balance,free_cash
,8000,8000
2024-08-10 09:00:00+00:00,8000.0,8000.0
2024-08-11 09:00:00+00:00,8472.21819,944.414209999999
2024-08-12 09:00:00+00:00,8199.9621,399.9020300000011
2024-08-13 09:00:00+00:00,8203.40112,-3.9279400000013993
2024-08-14 09:00:00+00:00,8384.77535,365.1295599999994
2024-08-15 09:00:00+00:00,8584.250970000001,399.0260100000014
2024-08-16 09:00:00+00:00,8491.896100000002,-164.7988099999966
2024-08-17 09:00:00+00:00,8330.83604,-318.9312399999999
2024-08-18 09:00:00+00:00,8381.73232,-217.13868000000184
2024-08-19 09:00:00+00:00,8229.9666,-520.6701200000007
2024-08-20 09:00:00+00:00,8291.829899999999,-1350.685800000003
2024-08-21 09:00:00+00:00,7978.42799,-536.6692200000016
2024-08-22 09:00:00+00:00,8001.556369999998,184.27067000000534
2024-08-23 09:00:00+00:00,7631.986549999999,-758.0649699999967
2024-08-24 09:00:00+00:00,7616.57103,-23.12457000000086
2024-08-25 09:00:00+00:00,7555.695589999999,105.26410999999825
2024-08-26 09:00:00+00:00,7433.441239999999,253.9799699999985
2024-08-27 09:00:00+00:00,7324.688709999999,616.1275899999991
2024-08-28 09:00:00+00:00,7352.649090000001,-16.189609999999448
2024-08-29 09:00:00+00:00,7406.106530000001,-29.99246999999923
2024-08-30 09:00:00+00:00,7402.994350000002,-94.65999999999985
2024-08-31 09:00:00+00:00,7381.337790000001,59.962100000000646
2024-09-01 09:00:00+00:00,7243.3827900000015,398.97170000000006
2024-09-02 09:00:00+00:00,7089.502250000001,-548.1808600000004
2024-09-03 09:00:00+00:00,7258.560280000001,-57.98315999999977
2024-09-04 09:00:00+00:00,7188.047890000002,-263.2396599999993
2024-09-05 09:00:00+00:00,7270.800870000002,10.61406000000079
